Categoria: Todas as categorias

Semana,cursos: (Brasil)
2020-11-29,51
2020-12-06,51
2020-12-13,48
2020-12-20,37
2020-12-27,45
2021-01-03,81
2021-01-10,76
2021-01-17,80
2021-01-24,75
2021-01-31,68
2021-02-07,71
2021-02-14,69
2021-02-21,69
2021-02-28,65
2021-03-07,61
2021-03-14,62
2021-03-21,63
2021-03-28,60
2021-04-04,65
2021-04-11,65
2021-04-18,63
2021-04-25,59
2021-05-02,56
2021-05-09,61
2021-05-16,63
2021-05-23,62
2021-05-30,60
2021-06-06,63
2021-06-13,62
2021-06-20,63
2021-06-27,63
2021-07-04,63
2021-07-11,68
2021-07-18,64
2021-07-25,61
2021-08-01,62
2021-08-08,66
2021-08-15,68
2021-08-22,67
2021-08-29,65
2021-09-05,59
2021-09-12,62
2021-09-19,58
2021-09-26,59
2021-10-03,57
2021-10-10,56
2021-10-17,64
2021-10-24,63
2021-10-31,52
2021-11-07,57
2021-11-14,54
2021-11-21,56
2021-11-28,57
2021-12-05,53
2021-12-12,54
2021-12-19,42
2021-12-26,47
2022-01-02,86
2022-01-09,83
2022-01-16,77
2022-01-23,80
2022-01-30,87
2022-02-06,93
2022-02-13,100
2022-02-20,89
2022-02-27,77
2022-03-06,77
2022-03-13,81
2022-03-20,89
2022-03-27,78
2022-04-03,73
2022-04-10,66
2022-04-17,68
2022-04-24,73
2022-05-01,71
2022-05-08,69
2022-05-15,65
2022-05-22,71
2022-05-29,67
2022-06-05,66
2022-06-12,60
2022-06-19,66
2022-06-26,68
2022-07-03,73
2022-07-10,69
2022-07-17,70
2022-07-24,69
2022-07-31,71
2022-08-07,69
2022-08-14,68
2022-08-21,71
2022-08-28,69
2022-09-04,58
2022-09-11,66
2022-09-18,66
2022-09-25,59
2022-10-02,47
2022-10-09,55
2022-10-16,61
2022-10-23,61
2022-10-30,50
2022-11-06,60
2022-11-13,62
2022-11-20,53
2022-11-27,54
2022-12-04,50
2022-12-11,57
2022-12-18,50
2022-12-25,55
2023-01-01,85
2023-01-08,84
2023-01-15,81
2023-01-22,84
2023-01-29,89
2023-02-05,93
2023-02-12,84
2023-02-19,72
2023-02-26,82
2023-03-05,75
2023-03-12,72
2023-03-19,75
2023-03-26,73
2023-04-02,61
2023-04-09,64
2023-04-16,70
2023-04-23,67
2023-04-30,65
2023-05-07,63
2023-05-14,65
2023-05-21,68
2023-05-28,65
2023-06-04,56
2023-06-11,63
2023-06-18,68
2023-06-25,67
2023-07-02,64
2023-07-09,66
2023-07-16,61
2023-07-23,67
2023-07-30,65
2023-08-06,63
2023-08-13,63
2023-08-20,66
2023-08-27,66
2023-09-03,55
2023-09-10,61
2023-09-17,60
2023-09-24,58
2023-10-01,54
2023-10-08,55
2023-10-15,61
2023-10-22,62
2023-10-29,57
2023-11-05,61
2023-11-12,54
2023-11-19,58
