Categoria: Todas as categorias

Semana,cursos ead: (Brasil)
2020-11-29,57
2020-12-06,56
2020-12-13,55
2020-12-20,46
2020-12-27,52
2021-01-03,77
2021-01-10,76
2021-01-17,83
2021-01-24,75
2021-01-31,77
2021-02-07,63
2021-02-14,72
2021-02-21,72
2021-02-28,71
2021-03-07,64
2021-03-14,67
2021-03-21,66
2021-03-28,69
2021-04-04,70
2021-04-11,64
2021-04-18,62
2021-04-25,62
2021-05-02,54
2021-05-09,61
2021-05-16,66
2021-05-23,62
2021-05-30,62
2021-06-06,55
2021-06-13,63
2021-06-20,60
2021-06-27,59
2021-07-04,61
2021-07-11,64
2021-07-18,58
2021-07-25,58
2021-08-01,55
2021-08-08,60
2021-08-15,63
2021-08-22,62
2021-08-29,53
2021-09-05,53
2021-09-12,52
2021-09-19,53
2021-09-26,51
2021-10-03,50
2021-10-10,49
2021-10-17,55
2021-10-24,48
2021-10-31,42
2021-11-07,44
2021-11-14,46
2021-11-21,49
2021-11-28,44
2021-12-05,43
2021-12-12,47
2021-12-19,37
2021-12-26,47
2022-01-02,73
2022-01-09,80
2022-01-16,76
2022-01-23,73
2022-01-30,81
2022-02-06,87
2022-02-13,100
2022-02-20,88
2022-02-27,73
2022-03-06,73
2022-03-13,81
2022-03-20,81
2022-03-27,79
2022-04-03,66
2022-04-10,62
2022-04-17,63
2022-04-24,64
2022-05-01,61
2022-05-08,60
2022-05-15,66
2022-05-22,63
2022-05-29,62
2022-06-05,58
2022-06-12,58
2022-06-19,59
2022-06-26,65
2022-07-03,61
2022-07-10,63
2022-07-17,67
2022-07-24,66
2022-07-31,66
2022-08-07,66
2022-08-14,69
2022-08-21,63
2022-08-28,64
2022-09-04,57
2022-09-11,56
2022-09-18,56
2022-09-25,48
2022-10-02,42
2022-10-09,48
2022-10-16,56
2022-10-23,51
2022-10-30,47
2022-11-06,47
2022-11-13,56
2022-11-20,46
2022-11-27,49
2022-12-04,49
2022-12-11,54
2022-12-18,44
2022-12-25,56
2023-01-01,77
2023-01-08,82
2023-01-15,79
2023-01-22,80
2023-01-29,100
2023-02-05,91
2023-02-12,82
2023-02-19,73
2023-02-26,75
2023-03-05,71
2023-03-12,77
2023-03-19,76
2023-03-26,74
2023-04-02,58
2023-04-09,59
2023-04-16,65
2023-04-23,58
2023-04-30,62
2023-05-07,58
2023-05-14,64
2023-05-21,65
2023-05-28,66
2023-06-04,61
2023-06-11,62
2023-06-18,62
2023-06-25,73
2023-07-02,66
2023-07-09,63
2023-07-16,63
2023-07-23,66
2023-07-30,71
2023-08-06,57
2023-08-13,66
2023-08-20,66
2023-08-27,61
2023-09-03,54
2023-09-10,54
2023-09-17,59
2023-09-24,54
2023-10-01,52
2023-10-08,49
2023-10-15,60
2023-10-22,61
2023-10-29,50
2023-11-05,60
2023-11-12,51
2023-11-19,59
