Categoria: Todas as categorias

Semana,cursos online: (Brasil)
2020-11-29,60
2020-12-06,58
2020-12-13,53
2020-12-20,42
2020-12-27,51
2021-01-03,100
2021-01-10,88
2021-01-17,91
2021-01-24,81
2021-01-31,82
2021-02-07,83
2021-02-14,84
2021-02-21,84
2021-02-28,84
2021-03-07,81
2021-03-14,80
2021-03-21,82
2021-03-28,75
2021-04-04,75
2021-04-11,76
2021-04-18,78
2021-04-25,73
2021-05-02,62
2021-05-09,69
2021-05-16,71
2021-05-23,72
2021-05-30,65
2021-06-06,65
2021-06-13,67
2021-06-20,71
2021-06-27,67
2021-07-04,70
2021-07-11,65
2021-07-18,66
2021-07-25,61
2021-08-01,60
2021-08-08,63
2021-08-15,63
2021-08-22,65
2021-08-29,65
2021-09-05,61
2021-09-12,58
2021-09-19,58
2021-09-26,61
2021-10-03,55
2021-10-10,54
2021-10-17,61
2021-10-24,61
2021-10-31,49
2021-11-07,53
2021-11-14,49
2021-11-21,54
2021-11-28,54
2021-12-05,50
2021-12-12,52
2021-12-19,42
2021-12-26,50
2022-01-02,92
2022-01-09,86
2022-01-16,83
2022-01-23,85
2022-01-30,84
2022-02-06,80
2022-02-13,79
2022-02-20,78
2022-02-27,75
2022-03-06,64
2022-03-13,71
2022-03-20,75
2022-03-27,74
2022-04-03,70
2022-04-10,62
2022-04-17,66
2022-04-24,66
2022-05-01,69
2022-05-08,63
2022-05-15,59
2022-05-22,61
2022-05-29,64
2022-06-05,62
2022-06-12,57
2022-06-19,60
2022-06-26,64
2022-07-03,67
2022-07-10,65
2022-07-17,64
2022-07-24,67
2022-07-31,64
2022-08-07,64
2022-08-14,63
2022-08-21,67
2022-08-28,62
2022-09-04,52
2022-09-11,62
2022-09-18,58
2022-09-25,57
2022-10-02,47
2022-10-09,54
2022-10-16,54
2022-10-23,55
2022-10-30,50
2022-11-06,52
2022-11-13,53
2022-11-20,49
2022-11-27,51
2022-12-04,51
2022-12-11,52
2022-12-18,47
2022-12-25,53
2023-01-01,81
2023-01-08,83
2023-01-15,79
2023-01-22,82
2023-01-29,81
2023-02-05,72
2023-02-12,72
2023-02-19,67
2023-02-26,69
2023-03-05,67
2023-03-12,65
2023-03-19,69
2023-03-26,66
2023-04-02,53
2023-04-09,56
2023-04-16,60
2023-04-23,58
2023-04-30,55
2023-05-07,53
2023-05-14,54
2023-05-21,58
2023-05-28,56
2023-06-04,51
2023-06-11,55
2023-06-18,55
2023-06-25,57
2023-07-02,57
2023-07-09,54
2023-07-16,58
2023-07-23,56
2023-07-30,55
2023-08-06,56
2023-08-13,54
2023-08-20,52
2023-08-27,54
2023-09-03,48
2023-09-10,47
2023-09-17,47
2023-09-24,47
2023-10-01,45
2023-10-08,44
2023-10-15,45
2023-10-22,48
2023-10-29,44
2023-11-05,46
2023-11-12,41
2023-11-19,47
